read_level	chimera_pct	dataset	model	thresh	reads_in	reads_out	pct_kept	spades_contigs	spades_total_len	spades_max_len	gfa_components	gfa_nodes	gfa_links	contigs_path	gfa_path
3200	5	3200_final_5	BIGRU	0.5	3200	2654	82.938	1	16315	16315	1	1	0	data/assemblies_spades/final_run/bigru_3k_5_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_3k_5_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
3200	5	3200_final_5	CNN	0.5	3200	2628	82.125	1	16575	16575	1	1	0	data/assemblies_spades/final_run/3200_final_5_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_5_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	5	3200_final_5	GB	0.5	3200	3117	97.406	1	16577	16577	1	1	0	data/assemblies_spades/final_run/3200_final_5_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_5_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	5	3200_final_5	UNFILTERED		3200	3200	100.0	1	16599	16599	2	2	0	data/assemblies_spades/final_run/3200_final_5_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_5_unfiltered/spades/assembly_graph_with_scaffolds.gfa
3200	10	3200_final_10	BIGRU	0.5	3200	2526	78.938	1	16419	16419	1	1	0	data/assemblies_spades/final_run/bigru_3k_10_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_3k_10_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
3200	10	3200_final_10	CNN	0.5	3200	2554	79.812	1	16590	16590	1	1	0	data/assemblies_spades/final_run/3200_final_10_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_10_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	10	3200_final_10	GB	0.5	3200	3047	95.219	1	16615	16615	1	1	0	data/assemblies_spades/final_run/3200_final_10_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_10_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	10	3200_final_10	UNFILTERED		3200	3200	100.0	1	16591	16591	1	1	0	data/assemblies_spades/final_run/3200_final_10_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_10_unfiltered/spades/assembly_graph_with_scaffolds.gfa
3200	15	3200_final_15	BIGRU	0.5	3200	2418	75.562	1	16562	16562	1	1	0	data/assemblies_spades/final_run/bigru_3k_15_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_3k_15_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
3200	15	3200_final_15	CNN	0.5	3200	2406	75.188	2	16442	14925	1	3	2	data/assemblies_spades/final_run/3200_final_15_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_15_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	15	3200_final_15	GB	0.5	3200	2988	93.375	1	16606	16606	1	1	0	data/assemblies_spades/final_run/3200_final_15_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_15_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	15	3200_final_15	UNFILTERED		3200	3200	100.0	1	16645	16645	1	1	0	data/assemblies_spades/final_run/3200_final_15_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_15_unfiltered/spades/assembly_graph_with_scaffolds.gfa
3200	50	3200_final_50	BIGRU	0.5	3200	1427	44.594	8	15938	7466	8	8	0	data/assemblies_spades/final_run/bigru_3k_50_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_3k_50_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
3200	50	3200_final_50	CNN	0.5	3200	1561	48.781	2	16534	16247	2	2	0	data/assemblies_spades/final_run/3200_final_50_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_50_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	50	3200_final_50	GB	0.5	3200	2492	77.875	1	16646	16646	1	1	0	data/assemblies_spades/final_run/3200_final_50_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_50_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
3200	50	3200_final_50	UNFILTERED		3200	3200	100.0	1	16736	16736	1	1	0	data/assemblies_spades/final_run/3200_final_50_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/3200_final_50_unfiltered/spades/assembly_graph_with_scaffolds.gfa
10K	5	10K_final_5	BIGRU	0.5	10000	8284	82.84	1	16608	16608	1	1	0	data/assemblies_spades/final_run/bigru_10k_5_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_10k_5_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
10K	5	10K_final_5	CNN	0.5	10000	8309	83.09	1	16603	16603	1	1	0	data/assemblies_spades/final_run/10K_final_5_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_5_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
10K	5	10K_final_5	GB	0.5	10000	9732	97.32	1	16615	16615	1	1	0	data/assemblies_spades/final_run/10K_final_5_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_5_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
10K	5	10K_final_5	UNFILTERED		10000	10000	100.0	1	16615	16615	1	1	0	data/assemblies_spades/final_run/10K_final_5_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_5_unfiltered/spades/assembly_graph_with_scaffolds.gfa
10K	10	10K_final_10	BIGRU	0.5	10000	7938	79.38	1	16614	16614	1	1	0	data/assemblies_spades/final_run/bigru_10k_10_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_10k_10_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
10K	10	10K_final_10	CNN	0.5	10000	7847	78.47	1	16693	16693	1	1	0	data/assemblies_spades/final_run/10K_final_10_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_10_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
10K	10	10K_final_10	GB	0.5	10000	9530	95.3	1	16614	16614	1	1	0	data/assemblies_spades/final_run/10K_final_10_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_10_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
10K	10	10K_final_10	UNFILTERED		10000	10000	100.0	1	16704	16704	1	1	0	data/assemblies_spades/final_run/10K_final_10_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_10_unfiltered/spades/assembly_graph_with_scaffolds.gfa
10K	15	10K_final_15	BIGRU	0.5	10000	7521	75.21	1	16611	16611	1	1	0	data/assemblies_spades/final_run/bigru_10k_15_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_10k_15_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
10K	15	10K_final_15	CNN	0.5	10000	7595	75.95	1	16611	16611	1	1	0	data/assemblies_spades/final_run/10K_final_15_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_15_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
10K	15	10K_final_15	GB	0.5	10000	9333	93.33	1	16642	16642	1	1	0	data/assemblies_spades/final_run/10K_final_15_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_15_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
10K	15	10K_final_15	UNFILTERED		10000	10000	100.0	1	16735	16735	1	1	0	data/assemblies_spades/final_run/10K_final_15_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_15_unfiltered/spades/assembly_graph_with_scaffolds.gfa
10K	50	10K_final_50	BIGRU	0.5	10000	4468	44.68	1	16590	16590	2	2	0	data/assemblies_spades/final_run/bigru_10k_50_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_10k_50_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
10K	50	10K_final_50	CNN	0.5	10000	4947	49.47	1	16709	16709	1	2	2	data/assemblies_spades/final_run/10K_final_50_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_50_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
10K	50	10K_final_50	GB	0.5	10000	7894	78.94	1	16787	16787	1	2	2	data/assemblies_spades/final_run/10K_final_50_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_50_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
10K	50	10K_final_50	UNFILTERED		10000	10000	100.0	1	16715	16715	1	3	4	data/assemblies_spades/final_run/10K_final_50_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/10K_final_50_unfiltered/spades/assembly_graph_with_scaffolds.gfa
20K	5	20K_final_5	BIGRU	0.5	20000	16768	83.84	1	16614	16614	1	1	0	data/assemblies_spades/final_run/bigru_20k_5_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_20k_5_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
20K	5	20K_final_5	CNN	0.5	20000	16515	82.575	1	16669	16669	1	1	0	data/assemblies_spades/final_run/20K_final_5_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_5_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
20K	5	20K_final_5	GB	0.5	20000	19498	97.49	1	16619	16619	1	2	2	data/assemblies_spades/final_run/20K_final_5_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_5_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
20K	5	20K_final_5	UNFILTERED		20000	20000	100.0	1	16669	16669	1	1	0	data/assemblies_spades/final_run/20K_final_5_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_5_unfiltered/spades/assembly_graph_with_scaffolds.gfa
20K	10	20K_final_10	BIGRU	0.5	20000	15880	79.4	1	16698	16698	1	1	0	data/assemblies_spades/final_run/bigru_20k_10_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_20k_10_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
20K	10	20K_final_10	CNN	0.5	20000	15787	78.935	1	16616	16616	1	1	0	data/assemblies_spades/final_run/20K_final_10_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_10_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
20K	10	20K_final_10	GB	0.5	20000	19027	95.135	1	16616	16616	1	1	0	data/assemblies_spades/final_run/20K_final_10_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_10_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
20K	10	20K_final_10	UNFILTERED		20000	20000	100.0	1	16799	16799	1	3	4	data/assemblies_spades/final_run/20K_final_10_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_10_unfiltered/spades/assembly_graph_with_scaffolds.gfa
20K	15	20K_final_15	BIGRU	0.5	20000	15025	75.125	1	16614	16614	1	1	0	data/assemblies_spades/final_run/bigru_20k_15_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_20k_15_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
20K	15	20K_final_15	CNN	0.5	20000	15044	75.22	1	16646	16646	1	1	0	data/assemblies_spades/final_run/20K_final_15_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_15_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
20K	15	20K_final_15	GB	0.5	20000	18669	93.345	1	16891	16891	1	1	0	data/assemblies_spades/final_run/20K_final_15_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_15_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
20K	15	20K_final_15	UNFILTERED		20000	20000	100.0	1	16747	16747	1	3	4	data/assemblies_spades/final_run/20K_final_15_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_15_unfiltered/spades/assembly_graph_with_scaffolds.gfa
20K	50	20K_final_50	BIGRU	0.5	20000	8970	44.85	1	16714	16714	1	2	2	data/assemblies_spades/final_run/bigru_20k_50_bigru_filtered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/bigru_20k_50_bigru_filtered/spades/assembly_graph_with_scaffolds.gfa
20K	50	20K_final_50	CNN	0.5	20000	9978	49.89	1	16745	16745	1	1	0	data/assemblies_spades/final_run/20K_final_50_cnn_fixedep25_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_50_cnn_fixedep25_t0p5/spades/assembly_graph_with_scaffolds.gfa
20K	50	20K_final_50	GB	0.5	20000	15697	78.485	1	16799	16799	1	3	4	data/assemblies_spades/final_run/20K_final_50_gb_t0p5/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_50_gb_t0p5/spades/assembly_graph_with_scaffolds.gfa
20K	50	20K_final_50	UNFILTERED		20000	20000	100.0	966	163906	407	1	966	1297	data/assemblies_spades/final_run/20K_final_50_unfiltered/spades/contigs.fasta	/Users/yvonnelin/Desktop/mitochime/data/assemblies_spades/final_run/20K_final_50_unfiltered/spades/assembly_graph_with_scaffolds.gfa
